symbol,fast_ema,slow_ema,total_return,sharpe_ratio,num_trades,win_rate,final_value
AKSA,9,68,0.45436939253021236,1.1450334167118321,4,1.0,145436.93925302124
AGESA,11,140,0.3619720395141601,1.2215169606515857,4,1.0,136197.203951416
ANSGR,21,80,0.1392051510499572,0.6439753189260329,2,1.0,113920.51510499572
AKSEN,11,60,0.11504025191123961,0.5189328779561798,4,1.0,111504.02519112396
ALKIM,17,92,0.011302347791366628,0.14239424174820894,2,1.0,101130.23477913666
AEFES,45,190,0.0,0.0,0,0.0,100000.0
ARCLK,20,170,0.0,0.0,0,0.0,100000.0
ALGYO,45,170,0.0,0.0,0,0.0,100000.0
AGHOL,48,170,-0.03856005999999994,-0.11831793439134922,2,0.0,96143.994
AKBNK,9,120,-0.042674213826217604,-0.0331212173012122,4,0.5,95732.57861737824
