symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
AKBNK,2025-05-28 13:00:00+00:00,2025-05-30 11:00:00+00:00,51.85,51.55,96,-28.80000000000109,-0.005785920925747567,SIGNAL
AKBNK,2025-06-02 12:00:00+00:00,2025-06-12 09:00:00+00:00,52.3,59.0,95,636.5,0.12810707456978968,SIGNAL
AKBNK,2025-06-13 18:00:00+00:00,2025-06-17 15:00:00+00:00,59.5,59.4,85,-8.5,-0.0016806722689075631,SIGNAL
AKBNK,2025-06-23 12:00:00+00:00,2025-06-27 18:00:00+00:00,57.75,62.0,87,369.75,0.0735930735930736,END_TEST
ARCLK,2025-05-29 13:00:00+00:00,2025-05-30 16:00:00+00:00,108.5,104.8,46,-170.19999999999982,-0.03410138248847923,SIGNAL
ARCLK,2025-06-03 10:00:00+00:00,2025-06-12 11:00:00+00:00,108.8,110.8,46,92.0,0.01838235294117647,SIGNAL
ARCLK,2025-06-13 17:00:00+00:00,2025-06-18 11:00:00+00:00,108.3,109.0,46,32.19999999999982,0.006463527239150471,SIGNAL
ARCLK,2025-06-19 11:00:00+00:00,2025-06-20 17:00:00+00:00,111.7,109.1,45,-117.0,-0.023276633840644583,SIGNAL
ARCLK,2025-06-24 09:00:00+00:00,2025-06-27 18:00:00+00:00,113.1,120.1,44,308.0,0.0618921308576481,END_TEST
ASELS,2025-06-02 10:00:00+00:00,2025-06-03 11:00:00+00:00,130.7,128.7,39,-78.0,-0.015302218821729153,SIGNAL
ASELS,2025-06-04 11:00:00+00:00,2025-06-13 12:00:00+00:00,130.9,142.1,38,425.60000000000036,0.08556149732620329,SIGNAL
ASELS,2025-06-16 16:00:00+00:00,2025-06-17 10:00:00+00:00,144.1,143.9,35,-7.0,-0.0013879250520471894,SIGNAL
ASELS,2025-06-17 13:00:00+00:00,2025-06-23 11:00:00+00:00,144.8,145.0,35,7.0,0.0013812154696132596,SIGNAL
ASELS,2025-06-23 18:00:00+00:00,2025-06-24 16:00:00+00:00,147.1,142.5,34,-156.39999999999964,-0.03127124405166546,SIGNAL
ASELS,2025-06-25 10:00:00+00:00,2025-06-26 11:00:00+00:00,147.2,145.2,34,-68.0,-0.013586956521739132,SIGNAL
ASELS,2025-06-27 14:00:00+00:00,2025-06-27 18:00:00+00:00,145.5,146.5,35,35.0,0.006872852233676976,END_TEST
BIMAS,2025-06-02 12:00:00+00:00,2025-06-11 11:00:00+00:00,479.41,511.4,10,319.89999999999964,0.06672785298596183,SIGNAL
BIMAS,2025-06-20 09:00:00+00:00,2025-06-25 13:00:00+00:00,486.0,474.75,10,-112.5,-0.023148148148148147,SIGNAL
DOHOL,2025-05-29 09:00:00+00:00,2025-05-30 09:00:00+00:00,14.86,14.65,346,-72.65999999999894,-0.014131897711978262,SIGNAL
DOHOL,2025-06-03 10:00:00+00:00,2025-06-05 11:00:00+00:00,14.93,14.93,344,0.0,0.0,SIGNAL
DOHOL,2025-06-10 09:00:00+00:00,2025-06-12 09:00:00+00:00,15.01,15.05,342,13.680000000000291,0.002664890073284534,SIGNAL
DOHOL,2025-06-13 16:00:00+00:00,2025-06-18 17:00:00+00:00,14.5,14.59,354,31.859999999999673,0.006206896551724074,SIGNAL
DOHOL,2025-06-18 18:00:00+00:00,2025-06-19 10:00:00+00:00,14.59,14.65,352,21.11999999999989,0.0041124057573680385,SIGNAL
DOHOL,2025-06-24 09:00:00+00:00,2025-06-27 09:00:00+00:00,14.94,14.99,344,17.200000000000728,0.0033467202141902355,SIGNAL
EKGYO,2025-05-29 09:00:00+00:00,2025-06-12 12:00:00+00:00,13.51,15.32,381,689.6100000000006,0.13397483345669886,SIGNAL
EKGYO,2025-06-16 10:00:00+00:00,2025-06-18 11:00:00+00:00,15.08,14.7,346,-131.48000000000047,-0.02519893899204253,SIGNAL
EKGYO,2025-06-19 12:00:00+00:00,2025-06-26 11:00:00+00:00,14.96,16.42,347,506.6200000000008,0.09759358288770069,SIGNAL
EKGYO,2025-06-27 17:00:00+00:00,2025-06-27 18:00:00+00:00,16.74,16.74,313,0.0,0.0,END_TEST
EREGL,2025-05-29 10:00:00+00:00,2025-05-30 12:00:00+00:00,24.12,23.56,217,-121.52000000000044,-0.023217247097844198,SIGNAL
EREGL,2025-06-03 10:00:00+00:00,2025-06-05 12:00:00+00:00,23.5,23.54,223,8.920000000000073,0.001702127659574482,SIGNAL
EREGL,2025-06-13 18:00:00+00:00,2025-06-19 10:00:00+00:00,24.8,26.18,211,291.1799999999994,0.05564516129032246,SIGNAL
EREGL,2025-06-20 17:00:00+00:00,2025-06-25 17:00:00+00:00,26.18,25.84,201,-68.34000000000015,-0.012987012987013014,SIGNAL
GARAN,2025-06-10 01:09:39.310530+00:00,2025-06-11 01:04:01.379522+00:00,101.18,88.68,52,-650.0,-0.12354220201620872,STOP_LOSS
GARAN,2025-06-11 01:09:39.310530+00:00,2025-06-12 01:04:01.379522+00:00,105.13,89.23,49,-779.0999999999995,-0.15124132027014162,STOP_LOSS
THYAO,2025-06-24 01:09:39.285678+00:00,2025-06-24 01:12:47.158737+00:00,102.73,92.97,49,-478.2400000000007,-0.09500632726564795,STOP_LOSS
THYAO,2025-06-24 23:36:38.530827+00:00,2025-06-27 01:12:47.158737+00:00,78.54,90.45,64,762.2399999999998,0.1516424751718869,END_TEST
