start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-01,2020-07-06,0.018670649259891058,3,3,1.8670649259891057
2020-07-09,2020-07-17,0.05976680995182776,5,7,5.976680995182776
2020-07-21,2020-07-22,0.026407234563913376,1,1,2.6407234563913375
2020-07-24,2020-07-27,0.0041293507945656185,1,3,0.4129350794565618
2020-07-28,2020-12-24,0.18640643123061404,104,52,18.640643123061405
2020-12-28,2021-01-04,0.022755983794046964,4,4,2.2755983794046966
2021-01-05,2021-01-11,0.04897226895136423,4,5,4.897226895136423
2021-01-13,2021-02-11,0.11886898297815156,21,15,11.886898297815156
2021-02-17,2021-02-18,0.03532343175853063,1,1,3.532343175853063
2021-02-19,2021-12-03,0.3652343608118823,194,226,36.52343608118823
2021-12-08,2021-12-13,0.017383396958154045,3,4,1.7383396958154045
2021-12-15,2021-12-16,0.0026361803751762986,1,1,0.26361803751762986
2021-12-17,2022-03-08,0.2937710216749781,57,75,29.37710216749781
2022-03-09,2022-03-10,0.0031347931924396648,1,1,0.3134793192439665
2022-03-11,2022-03-18,0.06034486237866998,5,4,6.034486237866998
2022-03-23,2022-04-01,0.051750402390311305,7,3,5.17504023903113
2022-04-07,2022-04-12,0.01885471437453627,3,5,1.8854714374536272
2022-04-14,2022-04-18,0.011356485857642,2,4,1.1356485857642
2022-04-19,2022-05-06,0.10179644822005549,10,8,10.179644822005548
2022-05-11,2022-11-07,0.284726249305082,123,116,28.4726249305082
2022-11-08,2022-11-09,0.017155477098938512,1,1,1.7155477098938512
2022-11-11,2022-11-14,0.02517403917696119,1,3,2.517403917696119
2022-11-15,2022-11-16,0.02060218612578707,1,1,2.0602186125787068
2022-11-18,2022-11-22,0.03747431003032371,2,4,3.7474310030323714
2022-11-23,2022-11-24,0.0004909292326868792,1,1,0.049092923268687916
2022-11-28,2022-11-29,0.010245053085461439,1,1,1.024505308546144
2022-12-05,2022-12-08,0.09011853154355158,3,1,9.011853154355158
2022-12-13,2022-12-26,0.07624887874310905,9,10,7.624887874310906
2022-12-28,2023-01-19,0.24934836949363687,16,8,24.934836949363685
2023-01-24,2023-08-31,0.49378530711637775,146,120,49.37853071163777
2023-09-05,2024-08-20,0.4589371647462776,239,239,45.89371647462776
2024-08-21,2024-11-21,0.25810808748812286,64,37,25.810808748812285
2024-11-25,2025-02-17,0.1337325728236607,59,59,13.373257282366069
2025-02-18,2025-02-20,0.01043018845102595,2,2,1.043018845102595
2025-02-21,2025-03-07,0.12955734612316505,10,7,12.955734612316505
2025-03-10,2025-03-11,0.002597362964184253,1,1,0.2597362964184253
2025-03-12,2025-03-13,0.0012706286912165792,1,1,0.12706286912165793
2025-03-17,2025-03-26,0.10237199880710937,7,5,10.237199880710937
2025-03-27,2025-03-28,0.006777609875736297,1,1,0.6777609875736297
2025-04-02,2025-04-18,0.1043228017493696,12,9,10.43228017493696
